date,total_cases,new_cases
22/01/2020,557.0,0.0
23/01/2020,657.0,100.0
24/01/2020,944.0,287.0
25/01/2020,1437.0,493.0
26/01/2020,2120.0,683.0
27/01/2020,2929.0,809.0
28/01/2020,5580.0,2651.0
29/01/2020,6169.0,589.0
30/01/2020,8237.0,2068.0
31/01/2020,9927.0,1690.0
01/02/2020,12038.0,2111.0
02/02/2020,16787.0,4749.0
03/02/2020,19887.0,3100.0
04/02/2020,23899.0,4012.0
05/02/2020,27644.0,3745.0
06/02/2020,30806.0,3162.0
07/02/2020,34400.0,3594.0
08/02/2020,37131.0,2731.0
09/02/2020,40162.0,3031.0
10/02/2020,42771.0,2609.0
11/02/2020,44814.0,2043.0
12/02/2020,45232.0,418.0
13/02/2020,60384.0,15152.0
14/02/2020,66912.0,6528.0
15/02/2020,69055.0,2143.0
16/02/2020,71238.0,2183.0
17/02/2020,73273.0,2035.0
18/02/2020,75155.0,1882.0
19/02/2020,75655.0,500.0
20/02/2020,76216.0,561.0
21/02/2020,76846.0,630.0
22/02/2020,78608.0,1762.0
23/02/2020,78990.0,382.0
24/02/2020,79558.0,568.0
25/02/2020,80412.0,854.0
26/02/2020,81385.0,973.0
27/02/2020,82730.0,1345.0
28/02/2020,84154.0,1424.0
29/02/2020,86030.0,1876.0
01/03/2020,88410.0,2380.0
02/03/2020,90393.0,1983.0
03/03/2020,93004.0,2611.0
04/03/2020,95329.0,2325.0
05/03/2020,98046.0,2717.0
06/03/2020,101976.0,3930.0
07/03/2020,106122.0,4146.0
08/03/2020,109972.0,3850.0
09/03/2020,114299.0,4327.0
10/03/2020,119108.0,4809.0
11/03/2020,126628.0,7548.0
12/03/2020,133383.0,6755.0
13/03/2020,146673.0,13290.0
14/03/2020,157617.0,10944.0
15/03/2020,168876.0,11259.0
16/03/2020,183394.0,14518.0
17/03/2020,198691.0,15297.0
18/03/2020,216347.0,17656.0
19/03/2020,243463.0,27116.0
20/03/2020,273007.0,29546.0
21/03/2020,305422.0,32421.0
22/03/2020,339895.0,34473.0
23/03/2020,382799.0,42904.0
24/03/2020,424883.0,42099.0
25/03/2020,475998.0,51115.0
26/03/2020,537412.0,61414.0
27/03/2020,601349.0,63937.0
28/03/2020,670495.0,69146.0
29/03/2020,726726.0,56231.0
30/03/2020,791975.0,65249.0
31/03/2020,868990.0,77015.0
01/04/2020,950456.0,81466.0
02/04/2020,1032773.0,82318.0
03/04/2020,1116784.0,84011.0
04/04/2020,1176845.0,77138.0
05/04/2020,1248902.0,72057.0
06/04/2020,1323374.0,74472.0
07/04/2020,1392449.0,72569.0
08/04/2020,1474357.0,81908.0
09/04/2020,1561124.0,86767.0
10/04/2020,1647650.0,86526.0
11/04/2020,1723098.0,75448.0
12/04/2020,1841881.0,118804.0
13/04/2020,1913470.0,71589.0
14/04/2020,1998044.0,84574.0
15/04/2020,2075861.0,77817.0
16/04/2020,2170255.0,94394.0
17/04/2020,2257976.0,87721.0
18/04/2020,2336243.0,78268.0
19/04/2020,2412924.0,76681.0
20/04/2020,2488841.0,75917.0
21/04/2020,2565105.0,76264.0
22/04/2020,2647028.0,81923.0
23/04/2020,2729643.0,84324.0
24/04/2020,2813659.0,94050.0
25/04/2020,2897155.0,83496.0
26/04/2020,2968015.0,70861.0
27/04/2020,3038978.0,70963.0
28/04/2020,3114827.0,75849.0
29/04/2020,3192187.0,78815.0
30/04/2020,3276008.0,83821.0
01/05/2020,3365032.0,89024.0
02/05/2020,3443365.0,78521.0
03/05/2020,3517545.0,74181.0
04/05/2020,3594945.0,77401.0
05/05/2020,3674574.0,79629.0
06/05/2020,3765102.0,90528.0
07/05/2020,3853788.0,90269.0
08/05/2020,3944234.0,91926.0
09/05/2020,4028825.0,84591.0
10/05/2020,4104066.0,75241.0
11/05/2020,4180026.0,76017.0
12/05/2020,4265355.0,85349.0
13/05/2020,4349700.0,84346.0
14/05/2020,4445383.0,95684.0
15/05/2020,4541697.0,96314.0
16/05/2020,4635844.0,94147.0
17/05/2020,4714279.0,78435.0
18/05/2020,4803316.0,89037.0
19/05/2020,4899111.0,96004.0
20/05/2020,5004517.0,105406.0
21/05/2020,5110356.0,105943.0
22/05/2020,5217632.0,107276.0
23/05/2020,5322067.0,104435.0
24/05/2020,5415338.0,93710.0
25/05/2020,5503470.0,88504.0
26/05/2020,5596273.0,92803.0
27/05/2020,5698770.0,102497.0
28/05/2020,5818419.0,119649.0
29/05/2020,5940053.0,121634.0
30/05/2020,6075479.0,135426.0
31/05/2020,6178488.0,103009.0
01/06/2020,6278741.0,100253.0
02/06/2020,6401882.0,123788.0
03/06/2020,6513141.0,114485.0
04/06/2020,6651238.0,138097.0
05/06/2020,6784852.0,133614.0
06/06/2020,6914363.0,129511.0
07/06/2020,7025356.0,110993.0
08/06/2020,7128442.0,103086.0
09/06/2020,7254720.0,126278.0
10/06/2020,7391844.0,137124.0
11/06/2020,7527684.0,135840.0
12/06/2020,7655157.0,127473.0
13/06/2020,7789103.0,133946.0
14/06/2020,7921000.0,131897.0
15/06/2020,8045807.0,124807.0
16/06/2020,8190007.0,144200.0
17/06/2020,8333154.0,143147.0
18/06/2020,8475867.0,142713.0
19/06/2020,8656956.0,181237.0
20/06/2020,8842801.0,185845.0
21/06/2020,8935820.0,112815.0
22/06/2020,9077991.0,142172.0
23/06/2020,9246323.0,168335.0
24/06/2020,9417750.0,171427.0
25/06/2020,9597198.0,179448.0
26/06/2020,9789655.0,192457.0
27/06/2020,9965996.0,176341.0
28/06/2020,10134453.0,168866.0
29/06/2020,10286939.0,152486.0
30/06/2020,10470806.0,183867.0
01/07/2020,10685775.0,214969.0
02/07/2020,10890388.0,204613.0
03/07/2020,11092892.0,202505.0
04/07/2020,11282582.0,189690.0
05/07/2020,11468572.0,185990.0
06/07/2020,11636344.0,167772.0
07/07/2020,11846005.0,209661.0
08/07/2020,12061092.0,215087.0
09/07/2020,12285308.0,224216.0
10/07/2020,12518495.0,233187.0
11/07/2020,12731314.0,212819.0
12/07/2020,12924159.0,192845.0
13/07/2020,13118394.0,194235.0
14/07/2020,13339624.0,221230.0
15/07/2020,13568839.0,229215.0
16/07/2020,13813771.0,244932.0
17/07/2020,14051297.0,237526.0
18/07/2020,14286652.0,235355.0
19/07/2020,14498418.0,211766.0
20/07/2020,14706403.0,207985.0
21/07/2020,14949547.0,243254.0
22/07/2020,15224732.0,275203.0
23/07/2020,15504562.0,279831.0
24/07/2020,15788265.0,283703.0
25/07/2020,16038262.0,249997.0
26/07/2020,16250256.0,211994.0
27/07/2020,16484307.0,234055.0
28/07/2020,16748747.0,264440.0
29/07/2020,17019099.0,270352.0
30/07/2020,17300689.0,281590.0
31/07/2020,17588509.0,287820.0
01/08/2020,17834905.0,246396.0
02/08/2020,18065624.0,230719.0
03/08/2020,18271483.0,205860.0
04/08/2020,18537114.0,265631.0
05/08/2020,18812277.0,275163.0
06/08/2020,19099131.0,286854.0
07/08/2020,19381669.0,282538.0
08/08/2020,19647114.0,265445.0
09/08/2020,19880226.0,233114.0
10/08/2020,20113319.0,233093.0
11/08/2020,20379323.0,266005.0
12/08/2020,20654184.0,274861.0
13/08/2020,20944518.0,290350.0
14/08/2020,21251743.0,307225.0
15/08/2020,21500865.0,249122.0
16/08/2020,21710936.0,210113.0
17/08/2020,21923578.0,212642.0
18/08/2020,22183198.0,259620.0
19/08/2020,22460416.0,277218.0
20/08/2020,22732023.0,271607.0
21/08/2020,22993647.0,261624.0
22/08/2020,23257646.0,263999.0
23/08/2020,23460324.0,202678.0
24/08/2020,23688166.0,227942.0
25/08/2020,23933675.0,245509.0
26/08/2020,24215119.0,281444.0
27/08/2020,24502504.0,287385.0
28/08/2020,24786457.0,285301.0
29/08/2020,25047533.0,261076.0
30/08/2020,25267139.0,219606.0
31/08/2020,25531271.0,264132.0
01/09/2020,25798222.0,266951.0
02/09/2020,26079844.0,281634.0
03/09/2020,26365352.0,285508.0
04/09/2020,26666655.0,301303.0
05/09/2020,26940822.0,274167.0
06/09/2020,27169795.0,228973.0
07/09/2020,27387108.0,225266.0
08/09/2020,27633399.0,246291.0
09/09/2020,27918403.0,285004.0
10/09/2020,28222829.0,304426.0
11/09/2020,28538637.0,315808.0
12/09/2020,28827690.0,289053.0
13/09/2020,29076172.0,248482.0
14/09/2020,29342975.0,266803.0
15/09/2020,29623719.0,280744.0
16/09/2020,29928325.0,304606.0
17/09/2020,30243721.0,315396.0
18/09/2020,30570391.0,326670.0
19/09/2020,30863662.0,293271.0
20/09/2020,31118608.0,254946.0
21/09/2020,31378234.0,259626.0
22/09/2020,31662610.0,284376.0
23/09/2020,31974118.0,311508.0
