,country,date,value
8664,Afghanistan,2018,18.401
8665,Albania,2018,15.147
8666,Algeria,2018,175.367
8667,Andorra,2018,3.217
8668,Angola,2018,101.353
8669,Antigua and Barbuda,2018,1.605
8670,Argentina,2018,524.431
8671,Armenia,2018,12.458
8672,Aruba,2018,3.202
8673,Australia,2018,1421.194
8674,Austria,2018,455.301
8675,Azerbaijan,2018,47.113
8676,Bahamas,2018,12.838
8677,Bahrain,2018,37.652
8678,Bangladesh,2018,273.3
8679,Barbados,2018,5.087
8680,Belarus,2018,60.011
8681,Belgium,2018,543.923
8682,Belize,2018,1.916
8683,Benin,2018,14.257
8684,Bhutan,2018,2.411
8685,Bolivia,2018,40.581
8686,Bosnia and Herzegovina,2018,20.184
8687,Botswana,2018,16.914
8688,Brazil,2018,1916.934
8689,Brunei Darussalam,2018,13.568
8690,Bulgaria,2018,66.294
8691,Burkina Faso,2018,16.067
8692,Burundi,2018,3.037
8693,Cabo Verde,2018,1.967
8694,Cambodia,2018,24.599
8695,Cameroon,2018,38.712
8696,Canada,2018,1721.822
8697,Central African Republic,2018,2.28
8698,Chad,2018,11.036
8699,Chile,2018,297.501
8700,China,2018,13841.812
8701,Colombia,2018,334.124
8702,Comoros,2018,1.179
8703,DR Congo,2018,47.146
8704,Congo Republic,2018,13.649
8705,Costa Rica,2018,62.422
8706,Croatia,2018,61.375
8707,Cyprus,2018,25.322
8708,Czech Republic,2018,248.95
8709,Cote d'Ivoire,2018,58.011
8710,Denmark,2018,356.841
8711,Djibouti,2018,3.013
8712,Dominica,2018,0.564
8713,Dominican Republic,2018,85.63
8714,Ecuador,2018,107.562
8715,Egypt,2018,250.253
8716,El Salvador,2018,26.021
8717,Equatorial Guinea,2018,13.097
8718,Eritrea,2018,2.006
8719,Estonia,2018,30.503
8720,Eswatini,2018,4.666
8721,Ethiopia,2018,80.207
8722,Fiji,2018,5.581
8723,Finland,2018,275.84
8724,France,2018,2789.68
8725,Gabon,2018,16.875
8726,Gambia,2018,1.662
8727,Georgia,2018,17.599
8728,Germany,2018,3979.093
8729,Ghana,2018,67.259
8730,Greece,2018,212.346
8731,Grenada,2018,1.167
8732,Guatemala,2018,73.212
8733,Guinea,2018,11.857
8734,Guinea-Bissau,2018,1.506
8735,Guyana,2018,4.788
8736,Haiti,2018,16.454
8737,Honduras,2018,24.068
8738,Hong Kong,2018,361.692
8739,Hungary,2018,160.431
8740,Iceland,2018,26.267
8741,India,2018,2701.112
8742,Indonesia,2018,1042.711
8743,Iran,2018,456.59
8744,Iraq,2018,226.87
8745,Ireland,2018,385.215
8746,Israel,2018,373.641
8747,Italy,2018,2093.088
8748,Jamaica,2018,15.648
8749,Japan,2018,5036.892
8750,Jordan,2018,42.993
8751,Kazakhstan,2018,179.34
8752,Kenya,2018,92.227
8753,Kiribati,2018,0.2
8754,South Korea,2018,1725.373
8755,Kosovo,2018,7.947
8756,Kuwait,2018,138.202
8757,Kyrgyz Republic,2018,8.271
8758,Laos,2018,18.131
8759,Latvia,2018,34.432
8760,Lebanon,2018,55.276
8761,Lesotho,2018,2.32
8762,Liberia,2018,3.264
8763,Libya,2018,41.432
8764,Lithuania,2018,53.747
8765,Luxembourg,2018,70.952
8766,Macau,2018,55.303
8767,Madagascar,2018,13.76
8768,Malawi,2018,9.882
8769,Malaysia,2018,358.789
8770,Maldives,2018,5.293
8771,Mali,2018,17.079
8772,Malta,2018,15.335
8773,Marshall Islands,2018,0.222
8774,Mauritania,2018,7.351
8775,Mauritius,2018,14.182
8776,Mexico,2018,1222.406
8777,"Micronesia, Fed. Sts.",2018,0.402
8778,Moldova,2018,11.457
8779,Mongolia,2018,13.138
8780,Montenegro,2018,5.509
8781,Morocco,2018,118.096
8782,Mozambique,2018,14.845
8783,Myanmar,2018,66.699
8784,Namibia,2018,13.675
8785,Nauru,2018,0.124
8786,Nepal,2018,33.112
8787,Netherlands,2018,914.458
8788,New Zealand,2018,210.005
8789,Nicaragua,2018,13.025
8790,Niger,2018,12.85
8791,Nigeria,2018,421.737
8792,Macedonia,2018,12.694
8793,Norway,2018,437
8794,Oman,2018,79.789
8795,Pakistan,2018,313.073
8796,Palau,2018,0.286
8797,Panama,2018,64.928
8798,Papua New Guinea,2018,24.11
8799,Paraguay,2018,40.225
8800,Peru,2018,225.369
8801,Philippines,2018,346.842
8802,Poland,2018,587.433
8803,Portugal,2018,242.423
8804,Puerto Rico,2018,104.925
8805,Qatar,2018,183.335
8806,Romania,2018,241.456
8807,Russia,2018,1653.005
8808,Rwanda,2018,9.641
8809,St. Kitts and Nevis,2018,1.079
8810,St. Lucia,2018,2.065
8811,St. Vincent and the Grenadines,2018,0.811
8812,Samoa,2018,0.837
8813,San Marino,2018,1.656
8814,Saudi Arabia,2018,786.522
8815,Senegal,2018,23.127
8816,Serbia,2018,50.641
8817,Seychelles,2018,1.542
8818,Sierra Leone,2018,4.085
8819,Singapore,2018,375.963
8820,Slovakia,2018,105.574
8821,Slovenia,2018,54.188
8822,Solomon Islands,2018,1.566
8823,Somalia,2018,4.651
8824,South Africa,2018,404.673
8825,South Sudan,2018,4.659
8826,Spain,2018,1421.639
8827,Sri Lanka,2018,87.922
8828,Sudan,2018,33.432
8829,Suriname,2018,3.996
8830,Sweden,2018,555.455
8831,Switzerland,2018,736.089
8832,Syria,2018,no data
8833,Sao Tome and Principe,2018,0.416
8834,Taiwan,2018,609.198
8835,Tajikistan,2018,7.52
8836,Tanzania,2018,56.699
8837,Thailand,2018,506.403
8838,Timor-Leste,2018,1.56
8839,Togo,2018,7.115
8840,Tonga,2018,0.486
8841,Trinidad and Tobago,2018,23.68
8842,Tunisia,2018,40.139
8843,Turkey,2018,779.694
8844,Turkmenistan,2018,40.762
8845,Tuvalu,2018,0.048
8846,Uganda,2018,34.223
8847,Ukraine,2018,130.916
8848,United Arab Emirates,2018,422.215
8849,United Kingdom,2018,2860.982
8850,United States,2018,20527.15
8851,Uruguay,2018,64.766
8852,Uzbekistan,2018,52.618
8853,Vanuatu,2018,0.928
8854,Venezuela,2018,98.4
8855,Vietnam,2018,303.091
8856,Palestine,2018,16.277
8857,Yemen,2018,21.606
8858,Zambia,2018,26.312
8859,Zimbabwe,2018,23.516
8860,not found,2018,2405.657
8861,not found,2018,30891.366
8862,"['Australia', 'New Zealand']",2018,1631.199
8863,not found,2018,94.899
8864,not found,2018,349.305
8865,not found,2018,1163.776
8866,not found,2018,21588.103
8867,not found,2018,3603.949
8868,not found,2018,22006.071
8869,not found,2018,2840.969
8870,not found,2018,625.288
8871,not found,2018,23576.303
8872,not found,2018,33.709
8873,not found,2018,3649.894
8874,not found,2018,3416.224
8875,not found,2018,3058.355
8876,not found,2018,1780.369
8877,not found,2018,18402.122
8878,not found,2018,27670.402
8879,not found,2018,2557.836
8880,not found,2018,51452.674
8881,not found,2018,19675.283
8882,not found,2018,3864.195
8883,not found,2018,34430.774
8884,not found,2018,13706.763
8885,not found,2018,15981.295
8886,not found,2018,5316.504
8887,not found,2018,39008.707
8888,not found,2018,3838.219
8889,not found,2018,7602.769
8890,not found,2018,1736.573
8891,not found,2018,85883.448
8892,Afghanistan,2019,18.876
8893,Albania,2019,15.283
8894,Algeria,2019,171.07
8895,Andorra,2019,3.155
8896,Angola,2019,84.516
8897,Antigua and Barbuda,2019,1.687
8898,Argentina,2019,451.815
8899,Armenia,2019,13.619
8900,Aruba,2019,3.31
8901,Australia,2019,1392.328
8902,Austria,2019,445.125
8903,Azerbaijan,2019,48.174
8904,Bahamas,2019,13.164
8905,Bahrain,2019,38.467
8906,Bangladesh,2019,302.397
8907,Barbados,2019,5.298
8908,Belarus,2019,64.414
8909,Belgium,2019,533.313
8910,Belize,2019,1.983
8911,Benin,2019,14.392
8912,Bhutan,2019,2.488
8913,Bolivia,2019,41.193
8914,Bosnia and Herzegovina,2019,20.203
8915,Botswana,2019,16.592
8916,Brazil,2019,1877.822
8917,Brunei Darussalam,2019,13.47
8918,Bulgaria,2019,68.563
8919,Burkina Faso,2019,15.991
8920,Burundi,2019,3.012
8921,Cabo Verde,2019,1.982
8922,Cambodia,2019,27.088
8923,Cameroon,2019,39.009
8924,Canada,2019,1741.576
8925,Central African Republic,2019,2.277
8926,Chad,2019,10.934
8927,Chile,2019,279.338
8928,China,2019,14340.6
8929,Colombia,2019,323.375
8930,Comoros,2019,1.188
8931,DR Congo,2019,50.399
8932,Congo Republic,2019,12.791
8933,Costa Rica,2019,64.067
8934,Croatia,2019,60.752
8935,Cyprus,2019,24.953
8936,Czech Republic,2019,252.498
8937,Cote d'Ivoire,2019,58.539
8938,Denmark,2019,347.561
8939,Djibouti,2019,3.346
8940,Dominica,2019,0.616
8941,Dominican Republic,2019,89.032
8942,Ecuador,2019,108.108
8943,Egypt,2019,302.335
8944,El Salvador,2019,26.897
8945,Equatorial Guinea,2019,11.417
8946,Eritrea,2019,1.982
8947,Estonia,2019,31.049
8948,Eswatini,2019,4.471
8949,Ethiopia,2019,92.608
8950,Fiji,2019,5.496
8951,Finland,2019,268.812
8952,France,2019,2728.834
8953,Gabon,2019,16.875
8954,Gambia,2019,1.806
8955,Georgia,2019,17.477
8956,Germany,2019,3888.756
8957,Ghana,2019,68.353
8958,Greece,2019,205.349
8959,Grenada,2019,1.188
8960,Guatemala,2019,77.004
8961,Guinea,2019,13.514
8962,Guinea-Bissau,2019,1.44
8963,Guyana,2019,5.174
8964,Haiti,2019,14.787
8965,Honduras,2019,25.09
8966,Hong Kong,2019,363.016
8967,Hungary,2019,163.494
8968,Iceland,2019,24.858
8969,India,2019,2870.504
8970,Indonesia,2019,1120.042
8971,Iran,2019,581.252
8972,Iraq,2019,233.953
8973,Ireland,2019,399.165
8974,Israel,2019,397.935
8975,Italy,2019,2005.135
8976,Jamaica,2019,15.808
8977,Japan,2019,5135.896
8978,Jordan,2019,44.566
8979,Kazakhstan,2019,181.667
8980,Kenya,2019,100.458
8981,Kiribati,2019,0.198
8982,South Korea,2019,1651.423
8983,Kosovo,2019,7.953
8984,Kuwait,2019,136.192
8985,Kyrgyz Republic,2019,8.872
8986,Laos,2019,18.771
8987,Latvia,2019,34.059
8988,Lebanon,2019,52.371
8989,Lesotho,2019,2.228
8990,Liberia,2019,3.08
8991,Libya,2019,39.497
8992,Lithuania,2019,54.646
8993,Luxembourg,2019,71.113
8994,Macau,2019,55.154
8995,Madagascar,2019,14.105
8996,Malawi,2019,11.031
8997,Malaysia,2019,365.279
8998,Maldives,2019,5.632
8999,Mali,2019,17.281
9000,Malta,2019,15.728
9001,Marshall Islands,2019,0.236
9002,Mauritania,2019,7.889
9003,Mauritius,2019,14.046
9004,Mexico,2019,1269.432
9005,"Micronesia, Fed. Sts.",2019,0.413
9006,Moldova,2019,11.972
9007,Mongolia,2019,13.997
9008,Montenegro,2019,5.543
9009,Morocco,2019,119.871
9010,Mozambique,2019,15.39
9011,Myanmar,2019,68.802
9012,Namibia,2019,12.563
9013,Nauru,2019,0.119
9014,Nepal,2019,34.186
9015,Netherlands,2019,910.295
9016,New Zealand,2019,210.443
9017,Nicaragua,2019,12.625
9018,Niger,2019,12.912
9019,Nigeria,2019,448.12
9020,Macedonia,2019,12.55
9021,Norway,2019,405.51
9022,Oman,2019,76.332
9023,Pakistan,2019,276.942
9024,Palau,2019,0.275
9025,Panama,2019,66.788
9026,Papua New Guinea,2019,24.829
9027,Paraguay,2019,37.907
9028,Peru,2019,230.865
9029,Philippines,2019,376.823
9030,Poland,2019,597.194
9031,Portugal,2019,240.013
9032,Puerto Rico,2019,104.915
9033,Qatar,2019,175.838
9034,Romania,2019,249.695
9035,Russia,2019,1690.05
9036,Rwanda,2019,10.356
9037,St. Kitts and Nevis,2019,1.165
9038,St. Lucia,2019,2.119
9039,St. Vincent and the Grenadines,2019,0.825
9040,Samoa,2019,0.846
9041,San Marino,2019,1.616
9042,Saudi Arabia,2019,792.966
9043,Senegal,2019,23.307
9044,Serbia,2019,51.475
9045,Seychelles,2019,1.58
9046,Sierra Leone,2019,4.119
9047,Singapore,2019,374.39
9048,Slovakia,2019,105.131
9049,Slovenia,2019,54.185
9050,Solomon Islands,2019,1.579
9051,Somalia,2019,5.061
9052,South Africa,2019,387.849
9053,South Sudan,2019,4.589
9054,Spain,2019,1393.2
9055,Sri Lanka,2019,83.978
9056,Sudan,2019,33.564
9057,Suriname,2019,3.984
9058,Sweden,2019,533.88
9059,Switzerland,2019,732.492
9060,Syria,2019,no data
9061,Sao Tome and Principe,2019,0.431
9062,Taiwan,2019,612.168
9063,Tajikistan,2019,8.117
9064,Tanzania,2019,60.81
9065,Thailand,2019,544.21
9066,Timor-Leste,2019,2.018
9067,Togo,2019,7.221
9068,Tonga,2019,0.517
9069,Trinidad and Tobago,2019,23.208
9070,Tunisia,2019,39.169
9071,Turkey,2019,760.516
9072,Turkmenistan,2019,46.264
9073,Tuvalu,2019,0.054
9074,Uganda,2019,38.001
9075,Ukraine,2019,153.997
9076,United Arab Emirates,2019,417.216
9077,United Kingdom,2019,2833.301
9078,United States,2019,21372.6
9079,Uruguay,2019,61.931
9080,Uzbekistan,2019,59.907
9081,Vanuatu,2019,0.928
9082,Venezuela,2019,63.96
9083,Vietnam,2019,327.873
9084,Palestine,2019,17.134
9085,Yemen,2019,21.888
9086,Zambia,2019,23.309
9087,Zimbabwe,2019,19.587
9088,not found,2019,2473.202
9089,not found,2019,31732.644
9090,"['Australia', 'New Zealand']",2019,1602.771
9091,not found,2019,94.316
9092,not found,2019,361.503
9093,not found,2019,1163.489
9094,not found,2019,22117.099
9095,not found,2019,3696.753
9096,not found,2019,21708.916
9097,not found,2019,2986.108
9098,not found,2019,671.942
9099,not found,2019,24488.523
9100,not found,2019,34.392
9101,not found,2019,3476.315
9102,not found,2019,3576.127
9103,not found,2019,3238.766
9104,not found,2019,1801.26
9105,not found,2019,18012.163
9106,not found,2019,28420.657
9107,not found,2019,2734.227
9108,not found,2019,51955.575
9109,not found,2019,20553.645
9110,not found,2019,3933.654
9111,not found,2019,35435.216
9112,not found,2019,13409.167
9113,not found,2019,15682.496
9114,not found,2019,5201.565
9115,not found,2019,39706.099
9116,not found,2019,3989.89
9117,not found,2019,7463.342
9118,not found,2019,1756.461
9119,not found,2019,87390.791
9120,Afghanistan,2020,20.136
9121,Albania,2020,14.828
9122,Algeria,2020,147.6
9123,Andorra,2020,2.858
9124,Angola,2020,58.376
9125,Antigua and Barbuda,2020,1.37
9126,Argentina,2020,389.064
9127,Armenia,2020,12.641
9128,Aruba,2020,2.497
9129,Australia,2020,1359.372
9130,Austria,2020,432.524
9131,Azerbaijan,2020,42.607
9132,Bahamas,2020,9.908
9133,Bahrain,2020,34.729
9134,Bangladesh,2020,323.057
9135,Barbados,2020,4.418
9136,Belarus,2020,60.201
9137,Belgium,2020,514.92
9138,Belize,2020,1.706
9139,Benin,2020,15.674
9140,Bhutan,2020,2.503
9141,Bolivia,2020,36.839
9142,Bosnia and Herzegovina,2020,19.789
9143,Botswana,2020,15.064
9144,Brazil,2020,1444.718
9145,Brunei Darussalam,2020,12.003
9146,Bulgaria,2020,69.209
9147,Burkina Faso,2020,17.378
9148,Burundi,2020,3.04
9149,Cabo Verde,2020,1.707
9150,Cambodia,2020,25.192
9151,Cameroon,2020,39.938
9152,Canada,2020,1644.037
9153,Central African Republic,2020,2.387
9154,Chad,2020,10.836
9155,Chile,2020,252.821
9156,China,2020,14866.741
9157,Colombia,2020,271.554
9158,Comoros,2020,1.216
9159,DR Congo,2020,48.707
9160,Congo Republic,2020,10.329
9161,Costa Rica,2020,61.833
9162,Croatia,2020,56.171
9163,Cyprus,2020,23.785
9164,Czech Republic,2020,245.349
9165,Cote d'Ivoire,2020,61.231
9166,Denmark,2020,356.085
9167,Djibouti,2020,3.44
9168,Dominica,2020,0.544
9169,Dominican Republic,2020,78.923
9170,Ecuador,2020,98.808
9171,Egypt,2020,363.245
9172,El Salvador,2020,24.639
9173,Equatorial Guinea,2020,10.036
9174,Eritrea,2020,2.084
9175,Estonia,2020,30.626
9176,Eswatini,2020,3.981
9177,Ethiopia,2020,96.611
9178,Fiji,2020,4.494
9179,Finland,2020,269.557
9180,France,2020,2624.416
9181,Gabon,2020,15.339
9182,Gambia,2020,1.862
9183,Georgia,2020,15.891
9184,Germany,2020,3843.335
9185,Ghana,2020,68.498
9186,Greece,2020,189.259
9187,Grenada,2020,1.027
9188,Guatemala,2020,77.603
9189,Guinea,2020,15.388
9190,Guinea-Bissau,2020,1.434
9191,Guyana,2020,5.471
9192,Haiti,2020,14.508
9193,Honduras,2020,23.828
9194,Hong Kong,2020,346.584
9195,Hungary,2020,155.013
9196,Iceland,2020,21.718
9197,India,2020,2660.244
9198,Indonesia,2020,1059.638
9199,Iran,2020,835.351
9200,Iraq,2020,169.488
9201,Ireland,2020,425.549
9202,Israel,2020,407.101
9203,Italy,2020,1884.935
9204,Jamaica,2020,13.967
9205,Japan,2020,5045.101
9206,Jordan,2020,43.759
9207,Kazakhstan,2020,171.24
9208,Kenya,2020,102.427
9209,Kiribati,2020,0.198
9210,South Korea,2020,1638.258
9211,Kosovo,2020,7.78
9212,Kuwait,2020,105.949
9213,Kyrgyz Republic,2020,7.747
9214,Laos,2020,18.82
9215,Latvia,2020,33.478
9216,Lebanon,2020,19.008
9217,Lesotho,2020,1.999
9218,Liberia,2020,3.037
9219,Libya,2020,19.21
9220,Lithuania,2020,55.843
9221,Luxembourg,2020,73.205
9222,Macau,2020,24.333
9223,Madagascar,2020,13.179
9224,Malawi,2020,11.847
9225,Malaysia,2020,337.008
9226,Maldives,2020,3.738
9227,Mali,2020,17.491
9228,Malta,2020,14.899
9229,Marshall Islands,2020,0.244
9230,Mauritania,2020,8.11
9231,Mauritius,2020,10.921
9232,Mexico,2020,1073.915
9233,"Micronesia, Fed. Sts.",2020,0.407
9234,Moldova,2020,11.912
9235,Mongolia,2020,13.137
9236,Montenegro,2020,4.786
9237,Morocco,2020,114.602
9238,Mozambique,2020,14.029
9239,Myanmar,2020,81.257
9240,Namibia,2020,10.71
9241,Nauru,2020,0.114
9242,Nepal,2020,33.983
9243,Netherlands,2020,913.134
9244,New Zealand,2020,209.384
9245,Nicaragua,2020,12.62
9246,Niger,2020,13.761
9247,Nigeria,2020,429.423
9248,Macedonia,2020,12.288
9249,Norway,2020,362.522
9250,Oman,2020,63.368
9251,Pakistan,2020,261.726
9252,Palau,2020,0.257
9253,Panama,2020,52.938
9254,Papua New Guinea,2020,23.279
9255,Paraguay,2020,35.67
9256,Peru,2020,205.458
9257,Philippines,2020,361.489
9258,Poland,2020,595.916
9259,Portugal,2020,228.356
9260,Puerto Rico,2020,103.138
9261,Qatar,2020,145.45
9262,Romania,2020,248.716
9263,Russia,2020,1478.571
9264,Rwanda,2020,10.332
9265,St. Kitts and Nevis,2020,0.981
9266,St. Lucia,2020,1.617
9267,St. Vincent and the Grenadines,2020,0.807
9268,Samoa,2020,0.812
9269,San Marino,2020,1.554
9270,Saudi Arabia,2020,700.118
9271,Senegal,2020,24.681
9272,Serbia,2020,52.96
9273,Seychelles,2020,1.138
9274,Sierra Leone,2020,4.202
9275,Singapore,2020,339.981
9276,Slovakia,2020,104.491
9277,Slovenia,2020,53.547
9278,Solomon Islands,2020,1.562
9279,Somalia,2020,4.99
9280,South Africa,2020,335.344
9281,South Sudan,2020,4.44
9282,Spain,2020,1280.459
9283,Sri Lanka,2020,80.7
9284,Sudan,2020,34.396
9285,Suriname,2020,2.884
9286,Sweden,2020,541.064
9287,Switzerland,2020,751.877
9288,Syria,2020,no data
9289,Sao Tome and Principe,2020,0.477
9290,Taiwan,2020,668.156
9291,Tajikistan,2020,7.997
9292,Tanzania,2020,64.403
9293,Thailand,2020,501.712
9294,Timor-Leste,2020,1.777
9295,Togo,2020,7.586
9296,Tonga,2020,0.499
9297,Trinidad and Tobago,2020,21.587
9298,Tunisia,2020,39.219
9299,Turkey,2020,719.919
9300,Turkmenistan,2020,45.609
9301,Tuvalu,2020,0.055
9302,Uganda,2020,38.141
9303,Ukraine,2020,155.3
9304,United Arab Emirates,2020,358.869
9305,United Kingdom,2020,2709.678
9306,United States,2020,20893.75
9307,Uruguay,2020,56.577
9308,Uzbekistan,2020,59.928
9309,Vanuatu,2020,0.932
9310,Venezuela,2020,47.255
9311,Vietnam,2020,343.114
9312,Palestine,2020,15.561
9313,Yemen,2020,18.841
9314,Zambia,2020,19.319
9315,Zimbabwe,2020,21.924
9316,not found,2020,2391.75
9317,not found,2020,31730.164
9318,"['Australia', 'New Zealand']",2020,1568.756
9319,not found,2020,83.293
9320,not found,2020,332.384
9321,not found,2020,1103.715
9322,not found,2020,22577.976
9323,not found,2020,3458.992
9324,not found,2020,20924.682
9325,not found,2020,2917.591
9326,not found,2020,683.876
9327,not found,2020,23714.841
9328,not found,2020,31.776
9329,not found,2020,2838.765
9330,not found,2020,3365.952
9331,not found,2020,3081.99
9332,not found,2020,1707.874
9333,not found,2020,17465.69
9334,not found,2020,26969.283
9335,not found,2020,2602.96
9336,not found,2020,50668.216
9337,not found,2020,20758.965
9338,not found,2020,3663.358
9339,not found,2020,34303.433
9340,not found,2020,13000.592
9341,not found,2020,15263.841
9342,not found,2020,4328.358
9343,not found,2020,38645.253
9344,not found,2020,3890.824
9345,not found,2020,7379.332
9346,not found,2020,1661.928
9347,not found,2020,84971.65
9348,Afghanistan,2021,no data
9349,Albania,2021,16.77
9350,Algeria,2021,163.812
9351,Andorra,2021,3.213
9352,Angola,2021,70.339
9353,Antigua and Barbuda,2021,1.405
9354,Argentina,2021,455.172
9355,Armenia,2021,13.612
9356,Aruba,2021,2.865
9357,Australia,2021,1610.556
9358,Austria,2021,481.209
9359,Azerbaijan,2021,52.645
9360,Bahamas,2021,10.681
9361,Bahrain,2021,39.104
9362,Bangladesh,2021,355.689
9363,Barbados,2021,4.648
9364,Belarus,2021,65.754
9365,Belgium,2021,581.848
9366,Belize,2021,1.909
9367,Benin,2021,18.067
9368,Bhutan,2021,2.48
9369,Bolivia,2021,38.547
9370,Bosnia and Herzegovina,2021,21.692
9371,Botswana,2021,17.605
9372,Brazil,2021,1645.837
9373,Brunei Darussalam,2021,15.686
9374,Bulgaria,2021,77.907
9375,Burkina Faso,2021,19.932
9376,Burundi,2021,3.193
9377,Cabo Verde,2021,1.886
9378,Cambodia,2021,26.08
9379,Cameroon,2021,44.806
9380,Canada,2021,2015.983
