"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2017",21.8697129487245,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2018",24.1697272878614,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2019",23.9838535266898,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2020",22.1821858626712,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2017",21.5125131175846,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2018",21.6753124505454,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2019",20.0556726199551,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2020",17.8347951872512,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2017",54.0511531414978,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2018",55.440654375526,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2019",55.4422065446306,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2020",51.4350078993873,
"AUT","TRADEGOODSERV","EXP","PC_GDP","A","2021",55.948880536434,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2017",50.8876917912507,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2018",52.4410224118143,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2019",52.0360207601889,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2020",48.5639349472647,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2021",55.0443050572646,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2017",83.1824102499921,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2018",83.035866838076,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2019",82.1875783601622,
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2020",80.0137625250907,"E"
"BEL","TRADEGOODSERV","EXP","PC_GDP","A","2021",85.0955438638573,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2017",82.1434260996683,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2018",83.2773079285802,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2019",81.5322756554439,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2020",78.6076343055451,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","2021",83.6803758316395,"E"
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","2017",31.4544101509781,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","2018",32.3453455768459,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","2019",31.9165694383376,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","2020",29.3634480170965,
"CAN","TRADEGOODSERV","EXP","PC_GDP","A","2021",30.690537904069,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2017",33.6466506994867,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2018",34.2365075153462,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2019",33.5122680801415,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2020",31.4190824211379,
"CAN","TRADEGOODSERV","IMP","PC_GDP","A","2021",30.535139834226,
"CZE","TRADEGOODSERV","EXP","PC_GDP","A","2017",79.0271394981121,
"CZE","TRADEGOODSERV","EXP","PC_GDP","A","2018",76.9591647541946,
"CZE","TRADEGOODSERV","EXP","PC_GDP","A","2019",73.8944533212857,
"CZE","TRADEGOODSERV","EXP","PC_GDP","A","2020",70.9919961534051,
"CZE","TRADEGOODSERV","EXP","PC_GDP","A","2021",72.5019931827844,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2017",71.5055129948816,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2018",71.0193329901205,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2019",67.904726969778,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2020",64.160286260839,
"CZE","TRADEGOODSERV","IMP","PC_GDP","A","2021",69.4561977172039,
"DNK","TRADEGOODSERV","EXP","PC_GDP","A","2017",55.0773767829077,
"DNK","TRADEGOODSERV","EXP","PC_GDP","A","2018",56.5598044910739,
"DNK","TRADEGOODSERV","EXP","PC_GDP","A","2019",58.9993349662817,
"DNK","TRADEGOODSERV","EXP","PC_GDP","A","2020",54.8815410876214,
"DNK","TRADEGOODSERV","EXP","PC_GDP","A","2021",59.4453775636641,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2017",47.9020131257278,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2018",50.4151919422829,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2019",51.6074689408629,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2020",48.430707687352,
"DNK","TRADEGOODSERV","IMP","PC_GDP","A","2021",52.6767134984395,
"FIN","TRADEGOODSERV","EXP","PC_GDP","A","2017",37.5495468424797,
"FIN","TRADEGOODSERV","EXP","PC_GDP","A","2018",38.4677985848168,
"FIN","TRADEGOODSERV","EXP","PC_GDP","A","2019",39.8816770341711,
"FIN","TRADEGOODSERV","EXP","PC_GDP","A","2020",35.7587344271939,
"FIN","TRADEGOODSERV","EXP","PC_GDP","A","2021",38.9326859971376,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2017",37.5035903509043,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2018",39.7223602378056,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2019",39.725747544319,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2020",35.5204941280279,
"FIN","TRADEGOODSERV","IMP","PC_GDP","A","2021",38.6982374848775,
"FRA","TRADEGOODSERV","EXP","PC_GDP","A","2017",30.9486331871,
"FRA","TRADEGOODSERV","EXP","PC_GDP","A","2018",31.7136672102555,
"FRA","TRADEGOODSERV","EXP","PC_GDP","A","2019",31.5920554143668,"E"
"FRA","TRADEGOODSERV","EXP","PC_GDP","A","2020",27.8736440773647,"E"
