,Location,Indicator,Subject,Measure,Frequency,Time,Value,Country
2,AUS,TRADEGOODSERV,EXP,PC_GDP,A,2019,23.9838535266898,Australia
3,AUS,TRADEGOODSERV,EXP,PC_GDP,A,2020,22.1821858626712,Australia
6,AUS,TRADEGOODSERV,IMP,PC_GDP,A,2019,20.0556726199551,Australia
7,AUS,TRADEGOODSERV,IMP,PC_GDP,A,2020,17.8347951872512,Australia
10,AUT,TRADEGOODSERV,EXP,PC_GDP,A,2019,55.4422065446306,Austria
11,AUT,TRADEGOODSERV,EXP,PC_GDP,A,2020,51.4350078993873,Austria
12,AUT,TRADEGOODSERV,EXP,PC_GDP,A,2021,55.948880536434,Austria
15,AUT,TRADEGOODSERV,IMP,PC_GDP,A,2019,52.0360207601889,Austria
16,AUT,TRADEGOODSERV,IMP,PC_GDP,A,2020,48.5639349472647,Austria
17,AUT,TRADEGOODSERV,IMP,PC_GDP,A,2021,55.0443050572646,Austria
20,BEL,TRADEGOODSERV,EXP,PC_GDP,A,2019,82.1875783601622,Belgium
21,BEL,TRADEGOODSERV,EXP,PC_GDP,A,2020,80.0137625250907,Belgium
22,BEL,TRADEGOODSERV,EXP,PC_GDP,A,2021,85.0955438638573,Belgium
25,BEL,TRADEGOODSERV,IMP,PC_GDP,A,2019,81.5322756554439,Belgium
26,BEL,TRADEGOODSERV,IMP,PC_GDP,A,2020,78.6076343055451,Belgium
27,BEL,TRADEGOODSERV,IMP,PC_GDP,A,2021,83.6803758316395,Belgium
30,CAN,TRADEGOODSERV,EXP,PC_GDP,A,2019,31.9165694383376,Canada
31,CAN,TRADEGOODSERV,EXP,PC_GDP,A,2020,29.3634480170965,Canada
32,CAN,TRADEGOODSERV,EXP,PC_GDP,A,2021,30.690537904069,Canada
35,CAN,TRADEGOODSERV,IMP,PC_GDP,A,2019,33.5122680801415,Canada
36,CAN,TRADEGOODSERV,IMP,PC_GDP,A,2020,31.4190824211379,Canada
37,CAN,TRADEGOODSERV,IMP,PC_GDP,A,2021,30.535139834226,Canada
40,CZE,TRADEGOODSERV,EXP,PC_GDP,A,2019,73.8944533212857,Czech Republic
41,CZE,TRADEGOODSERV,EXP,PC_GDP,A,2020,70.9919961534051,Czech Republic
42,CZE,TRADEGOODSERV,EXP,PC_GDP,A,2021,72.5019931827844,Czech Republic
45,CZE,TRADEGOODSERV,IMP,PC_GDP,A,2019,67.904726969778,Czech Republic
46,CZE,TRADEGOODSERV,IMP,PC_GDP,A,2020,64.160286260839,Czech Republic
47,CZE,TRADEGOODSERV,IMP,PC_GDP,A,2021,69.4561977172039,Czech Republic
50,DNK,TRADEGOODSERV,EXP,PC_GDP,A,2019,58.9993349662817,Denmark
51,DNK,TRADEGOODSERV,EXP,PC_GDP,A,2020,54.8815410876214,Denmark
52,DNK,TRADEGOODSERV,EXP,PC_GDP,A,2021,59.4453775636641,Denmark
55,DNK,TRADEGOODSERV,IMP,PC_GDP,A,2019,51.6074689408629,Denmark
56,DNK,TRADEGOODSERV,IMP,PC_GDP,A,2020,48.430707687352,Denmark
57,DNK,TRADEGOODSERV,IMP,PC_GDP,A,2021,52.6767134984395,Denmark
60,FIN,TRADEGOODSERV,EXP,PC_GDP,A,2019,39.8816770341711,Finland
61,FIN,TRADEGOODSERV,EXP,PC_GDP,A,2020,35.7587344271939,Finland
62,FIN,TRADEGOODSERV,EXP,PC_GDP,A,2021,38.9326859971376,Finland
65,FIN,TRADEGOODSERV,IMP,PC_GDP,A,2019,39.725747544319,Finland
66,FIN,TRADEGOODSERV,IMP,PC_GDP,A,2020,35.5204941280279,Finland
67,FIN,TRADEGOODSERV,IMP,PC_GDP,A,2021,38.6982374848775,Finland
70,FRA,TRADEGOODSERV,EXP,PC_GDP,A,2019,31.5920554143668,France
71,FRA,TRADEGOODSERV,EXP,PC_GDP,A,2020,27.8736440773647,France
72,FRA,TRADEGOODSERV,EXP,PC_GDP,A,2021,29.9475039619651,France
75,FRA,TRADEGOODSERV,IMP,PC_GDP,A,2019,32.549417775836,France
76,FRA,TRADEGOODSERV,IMP,PC_GDP,A,2020,29.893784250888,France
77,FRA,TRADEGOODSERV,IMP,PC_GDP,A,2021,32.0187581333024,France
80,DEU,TRADEGOODSERV,EXP,PC_GDP,A,2019,46.6242388472224,Germany
81,DEU,TRADEGOODSERV,EXP,PC_GDP,A,2020,43.4168953188659,Germany
82,DEU,TRADEGOODSERV,EXP,PC_GDP,A,2021,47.4590687331612,Germany
85,DEU,TRADEGOODSERV,IMP,PC_GDP,A,2019,40.9754271812515,Germany
86,DEU,TRADEGOODSERV,IMP,PC_GDP,A,2020,37.6916521160722,Germany
87,DEU,TRADEGOODSERV,IMP,PC_GDP,A,2021,41.9267242103612,Germany
90,GRC,TRADEGOODSERV,EXP,PC_GDP,A,2019,40.1321541162754,Greece
91,GRC,TRADEGOODSERV,EXP,PC_GDP,A,2020,31.9840015248304,Greece
92,GRC,TRADEGOODSERV,EXP,PC_GDP,A,2021,40.6295936980638,Greece
95,GRC,TRADEGOODSERV,IMP,PC_GDP,A,2019,41.8586773743501,Greece
96,GRC,TRADEGOODSERV,IMP,PC_GDP,A,2020,39.5989191991013,Greece
97,GRC,TRADEGOODSERV,IMP,PC_GDP,A,2021,48.5544247523157,Greece
100,HUN,TRADEGOODSERV,EXP,PC_GDP,A,2019,81.7759334458363,Hungary
101,HUN,TRADEGOODSERV,EXP,PC_GDP,A,2020,79.4800081077794,Hungary
102,HUN,TRADEGOODSERV,EXP,PC_GDP,A,2021,81.6441338128984,Hungary
105,HUN,TRADEGOODSERV,IMP,PC_GDP,A,2019,79.4602867499491,Hungary
106,HUN,TRADEGOODSERV,IMP,PC_GDP,A,2020,77.7783538419711,Hungary
107,HUN,TRADEGOODSERV,IMP,PC_GDP,A,2021,80.8819130416648,Hungary
110,ISL,TRADEGOODSERV,EXP,PC_GDP,A,2019,44.3109155846956,Iceland
111,ISL,TRADEGOODSERV,EXP,PC_GDP,A,2020,34.238881433452,Iceland
