LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,TRADEGOODSERV,EXP,MLN_USD,A,2017,263597.51,
AUS,TRADEGOODSERV,EXP,MLN_USD,A,2018,274057.476,
AUS,TRADEGOODSERV,EXP,MLN_USD,A,2019,269286.045,
AUS,TRADEGOODSERV,EXP,MLN_USD,A,2020,246693.446,
AUT,TRADEGOODSERV,EXP,MLN_USD,A,2017,219073.531,
AUT,TRADEGOODSERV,EXP,MLN_USD,A,2018,230330.793,
AUT,TRADEGOODSERV,EXP,MLN_USD,A,2019,238201.311,
AUT,TRADEGOODSERV,EXP,MLN_USD,A,2020,212572.817,
AUT,TRADEGOODSERV,EXP,MLN_USD,A,2021,239551.4,
BEL,TRADEGOODSERV,EXP,MLN_USD,A,2017,402931.811,
BEL,TRADEGOODSERV,EXP,MLN_USD,A,2018,405350.771,
BEL,TRADEGOODSERV,EXP,MLN_USD,A,2019,413398.068,
BEL,TRADEGOODSERV,EXP,MLN_USD,A,2020,390830.576,P
BEL,TRADEGOODSERV,EXP,MLN_USD,A,2021,427138.83,P
CAN,TRADEGOODSERV,EXP,MLN_USD,A,2017,509985.63,
CAN,TRADEGOODSERV,EXP,MLN_USD,A,2018,528770.53,
CAN,TRADEGOODSERV,EXP,MLN_USD,A,2019,535553.222,
CAN,TRADEGOODSERV,EXP,MLN_USD,A,2020,488999.271,
CAN,TRADEGOODSERV,EXP,MLN_USD,A,2021,495677.037,
CZE,TRADEGOODSERV,EXP,MLN_USD,A,2017,169432.227,
CZE,TRADEGOODSERV,EXP,MLN_USD,A,2018,175712.872,
CZE,TRADEGOODSERV,EXP,MLN_USD,A,2019,178311.784,
CZE,TRADEGOODSERV,EXP,MLN_USD,A,2020,165969.49,
CZE,TRADEGOODSERV,EXP,MLN_USD,A,2021,174466.914,
DNK,TRADEGOODSERV,EXP,MLN_USD,A,2017,183038.446,
DNK,TRADEGOODSERV,EXP,MLN_USD,A,2018,189174.765,
DNK,TRADEGOODSERV,EXP,MLN_USD,A,2019,198687.532,
DNK,TRADEGOODSERV,EXP,MLN_USD,A,2020,184766.053,
DNK,TRADEGOODSERV,EXP,MLN_USD,A,2021,198669.968,
FIN,TRADEGOODSERV,EXP,MLN_USD,A,2017,93885.871,
FIN,TRADEGOODSERV,EXP,MLN_USD,A,2018,95297.172,
FIN,TRADEGOODSERV,EXP,MLN_USD,A,2019,101658.009,
FIN,TRADEGOODSERV,EXP,MLN_USD,A,2020,94061.174,
FIN,TRADEGOODSERV,EXP,MLN_USD,A,2021,98441.531,
FRA,TRADEGOODSERV,EXP,MLN_USD,A,2017,792772.718,
