"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2017",50699.175108,
"AUS","GDP","TOT","USD_CAP","A","2018",52980.734327,
"AUS","GDP","TOT","USD_CAP","A","2019",52669.473903,
"AUS","GDP","TOT","USD_CAP","A","2020",55626.802432,
"AUT","GDP","TOT","USD_CAP","A","2017",54188.360666,
"AUT","GDP","TOT","USD_CAP","A","2018",56978.264771,
"AUT","GDP","TOT","USD_CAP","A","2019",58091.272285,
"AUT","GDP","TOT","USD_CAP","A","2020",55686.067736,
"AUT","GDP","TOT","USD_CAP","A","2021",59393.011339,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52528.397953,
"BEL","GDP","TOT","USD_CAP","A","2019",54269.389485,
"BEL","GDP","TOT","USD_CAP","A","2020",53090.095206,"P"
"BEL","GDP","TOT","USD_CAP","A","2021",59919.424186,"P"
"CAN","GDP","TOT","USD_CAP","A","2017",48317.191163,
"CAN","GDP","TOT","USD_CAP","A","2018",49892.028612,
"CAN","GDP","TOT","USD_CAP","A","2019",49286.811601,
"CAN","GDP","TOT","USD_CAP","A","2020",46572.141022,
"CAN","GDP","TOT","USD_CAP","A","2021",50722.491679,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41149.033601,
"CZE","GDP","TOT","USD_CAP","A","2019",42857.229404,
"CZE","GDP","TOT","USD_CAP","A","2020",41599.093008,
"CZE","GDP","TOT","USD_CAP","A","2021",44967.373004,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",58674.960996,
"DNK","GDP","TOT","USD_CAP","A","2020",60244.418358,
"DNK","GDP","TOT","USD_CAP","A","2021",65437.972336,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49574.529811,
"FIN","GDP","TOT","USD_CAP","A","2019",50321.588834,
"FIN","GDP","TOT","USD_CAP","A","2020",50926.479352,
"FIN","GDP","TOT","USD_CAP","A","2021",55739.523515,
"FRA","GDP","TOT","USD_CAP","A","2017",44445.59677,
"FRA","GDP","TOT","USD_CAP","A","2018",46375.437514,
"FRA","GDP","TOT","USD_CAP","A","2019",48800.185856,"P"
"FRA","GDP","TOT","USD_CAP","A","2020",46691.098321,"P"
"FRA","GDP","TOT","USD_CAP","A","2021",51183.67172,
"DEU","GDP","TOT","USD_CAP","A","2017",53071.478374,
"DEU","GDP","TOT","USD_CAP","A","2018",55235.247726,"P"
"DEU","GDP","TOT","USD_CAP","A","2019",55652.877823,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",54844.447231,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",58674.868712,"P"
"GRC","GDP","TOT","USD_CAP","A","2017",28604.794575,
"GRC","GDP","TOT","USD_CAP","A","2018",29617.499309,
"GRC","GDP","TOT","USD_CAP","A","2019",30356.302549,"P"
"GRC","GDP","TOT","USD_CAP","A","2020",27923.999993,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31823.310479,"P"
"HUN","GDP","TOT","USD_CAP","A","2017",29501.120486,
"HUN","GDP","TOT","USD_CAP","A","2018",31913.074632,
"HUN","GDP","TOT","USD_CAP","A","2019",33514.94177,
"HUN","GDP","TOT","USD_CAP","A","2020",33075.924351,"P"
"HUN","GDP","TOT","USD_CAP","A","2021",37161.187499,"P"
"ISL","GDP","TOT","USD_CAP","A","2017",55638.491978,
"ISL","GDP","TOT","USD_CAP","A","2018",57214.706832,
"ISL","GDP","TOT","USD_CAP","A","2019",58284.116043,
"ISL","GDP","TOT","USD_CAP","A","2020",53611.271722,
"IRL","GDP","TOT","USD_CAP","A","2017",77832.00899,
"IRL","GDP","TOT","USD_CAP","A","2018",84671.545053,
"IRL","GDP","TOT","USD_CAP","A","2019",87506.778434,
"IRL","GDP","TOT","USD_CAP","A","2020",93450.374199,
"IRL","GDP","TOT","USD_CAP","A","2021",108312.018138,
"ITA","GDP","TOT","USD_CAP","A","2017",41951.466331,
