Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2019,2020,2021,2022,2023
Afghanistan,AFG,Asian Dev. Bank   ,915,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,14275000,14273000,34522930.3,34120750.3,33717130.4
Afghanistan,AFG,Bulgaria,072,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1000000,500000,1036250,1150107.1,1120107.1
Afghanistan,AFG,International Monetary Fund                 ,907,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,11886621.3,9823909.6,5184966.5,5401006.7,4536845.7
Afghanistan,AFG,Islamic Dev. Bank,976,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,3707056.2,3518887.7,4039801.5,3979310.1,3917378.6
Afghanistan,AFG,Kuwait,552,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,111985.4,55514.4,111989.5,111989.5,111989.5
Afghanistan,AFG,OPEC Fund for International Dev.,951,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,66000,66000,65955.6,65955.6,65955.6
Afghanistan,AFG,Other Multiple Lenders,FCW,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,10897000,7363000,5656995.9,4012012.2,3455016.2
Afghanistan,AFG,Saudi Arabia,566,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,3400000,0,3089354.4,4057316.3,4042649.6
Afghanistan,AFG,World,WLD,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,55563662.9,45887311.7,137512040.8,134040200.6,129431020.1
Afghanistan,AFG,World Bank-IDA                         ,905,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,10220000,10287000,15184497.1,15102452.8,15007647.4
Angola,AGO,African Dev. Bank         ,913,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,72764968.4,116138616.1,96898774.4,97236021.1,96973892.1
Angola,AGO,Austria,001,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,50011980.9,44638051.5,21672998.6,21714209.5,21061133.1
Angola,AGO,Belgium,002,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4741980.2,8960364.8,1114000,27010133,10714933
Angola,AGO,Bondholders,BND,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1521023000,705243000,704998000,704998000,704998000
Angola,AGO,Canada,301,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,80006000,55191000,121568000,30765000,30682000
Angola,AGO,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4056628000,2177776000,3369851936.3,3371071097.2,3372190388.1
Angola,AGO,Egypt,142,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,35946000,57518000,32565089.2,35742683.4,34736200
Angola,AGO,France,004,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,124522736.6,140124214.9,73603703.2,72089782.1,46617859.7
Angola,AGO,"Germany, Fed.Rep. Of",005,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,29982381.2,33394536,32026467.8,23508379.8,25725651.3
Angola,AGO,India,646,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,8009000,7712000,6446044.4,6382044.4,6317044.4
Angola,AGO,International Fund for Agricultural Dev. (IFAD),988,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,711437.2,714643.4,733173.7,731733.5,728853
Angola,AGO,International Monetary Fund                 ,907,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,23588097.1,22928492.4,40169087.5,40084111.7,232149886.7
Angola,AGO,Ireland,021,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,186708000,173151000,759179183.8,173590796.3,176406180.8
Angola,AGO,Israel,546,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,498481000,74842000,654844225.1,1028000,514000
Angola,AGO,Italy,006,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,17111305.7,20070479.8,6762650.9,12046265.4,11878152.7
Angola,AGO,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,108625066.9,47120575.7,99750990.6,99710346.5,88897126.4
Angola,AGO,"Korea, Republic Of",742,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,8153000,14790000,8977165.3,18439267.3,18317028.6
Angola,AGO,Netherlands,007,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,132391168,101920482.9,126565552.4,6126214.3,6115305.9
Angola,AGO,OPEC Fund for International Dev.,951,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,814531.3,790000,764000,740000,716000
Angola,AGO,Other Multiple Lenders,FCW,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,774300000,1547968000,3380922270,2396166190,2070788170
Angola,AGO,Poland,076,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4729585.2,4044395,5117749,5536762.2,5526945.4
Angola,AGO,Portugal,009,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,121465169.6,147425525.6,122043212.2,127923070.5,90174344.9
Angola,AGO,South Africa,216,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,185711000,176856000,107173624,113944055.9,93141773.6
Angola,AGO,Spain,050,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,311608703.6,327026104.5,157741461.9,153479508.9,137321879.4
Angola,AGO,United Kingdom,012,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2185243719.5,2225410362.9,1295997793.1,884520963.8,1177735599.3
Angola,AGO,United States,302,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,178938000,151974000,124081384.8,117457384.8,110752384.8
Angola,AGO,World,WLD,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,11635838931.9,8456965845.5,11449795907.6,8605061585.5,8636938514.7
Angola,AGO,World Bank-IBRD                         ,901,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,22538000,32202000,69386154.9,25243986.6,28061410.5
Angola,AGO,World Bank-IDA                         ,905,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,44569000,41036000,28841214.5,37775577.3,37696371
Bangladesh,BGD,Asian Dev. Bank   ,915,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,656569000,679578000,773129726,805451752,833437841.8
Bangladesh,BGD,Asian Infrastructure Investment Bank,899,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4162000,6459000,11172850,15639800,25944466.7
Bangladesh,BGD,Belarus,086,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,425000,5541000,6826000,6762000,6698000
Bangladesh,BGD,Belgium,002,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,138834.1,141542.4,101440.3,101440.3,101440.3
Bangladesh,BGD,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,149612342.3,163706767.4,152932535.5,206370626.2,287775465
Bangladesh,BGD,Denmark,003,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,10478617.4,10683024.6,12861848.7,12861848.7,4095446.3
